Genes,ProtDesc,X5_vs_X5H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
FN1,Fibronectin,4.08,Up in X5H,11.896,85.4815341999309,2.14912737931673e-16,21.57,127,1.27163867034171e-12,2.24867690216573e-14,1.33054212301146e-10,4.08
HBB,Hemoglobin subunit beta,4.76,Up in X5H,9.441,46.907609121679,1.22410065415954e-13,22.48,10,3.62150178533099e-10,1.88980081836971e-12,4.345884828734441e-9,4.76
S,Large envelope protein,6.96,Up in X5H,9.276,43.5423291939089,2.68473816462316e-13,17.27,4,5.29519857335842e-10,2.20342310059208e-12,4.345884828734441e-9,6.96
C3,Complement C3,1.43,Up in X5H,8.464,35.4738831562453,2.32472690861167e-12,21.89,101,3.4388522795638204e-9,1.73695969830832e-10,1.02775905348903e-7,1.43
EMILIN1,EMILIN-1,2.22,Up in X5H,8.311,33.0079615153788,4.95797346690009e-12,18.63,29,4.88938816727464e-9,1.0709682407156001e-10,7.04102120034912e-8,2.22
QSOX1,Sulfhydryl oxidase 1,2.35,Up in X5H,8.311,33.0444599097139,4.90074125057735e-12,17.67,9,4.88938816727464e-9,5.0772714950051396e-11,6.00844308718908e-8,2.35
CLU,Clusterin,5.29,Up in X5H,8.294,31.9957174648364,6.8766469903377e-12,19.77,19,5.0861400302285205e-9,7.60897187807291e-11,6.93395040322615e-8,5.29
CRLF1,Cytokine receptor-like factor 1,2.44,Up in X5H,8.294,32.0077281627356,6.84960079752559e-12,18.3,13,5.0861400302285205e-9,9.37495406892161e-11,6.93395040322615e-8,2.44
VTN,Vitronectin,3.35,Up in X5H,8.288,31.6011331094521,7.83351214838935e-12,21.4,13,5.150099042446641e-9,9.092373606949979e-11,6.93395040322615e-8,3.35
C9,Complement component C9,5.65,Up in X5H,7.863,28.2366184105935,2.5502158299527897e-11,17.17,1,1.37178427871188e-8,4.2103311984477194e-11,6.00844308718908e-8,5.65
TGM2,Protein-glutamine gamma-glutamyltransferase 2,1.67,Up in X5H,7.863,28.3605140029268,2.43592772939139e-11,19.36,25,1.37178427871188e-8,5.33542419237513e-10,2.42843884202182e-7,1.67
TGFBI,Transforming growth factor-beta-induced protein ig-h3,3.88,Up in X5H,7.682,26.9083521135698,4.2225708588646097e-11,17.79,24,2.08207931432516e-8,4.1622665337478005e-10,2.23892100728961e-7,3.88
C5,Complement C5,4.31,Up in X5H,7.554,25.6400888441728,6.994158369474809e-11,18.72,46,2.79401052506729e-8,6.43069283741784e-10,2.71788639421438e-7,4.31
